Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:37:09,2023-12-18 12:37:10,"0,686s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SHT""))",Chrome 120.0.0.0,,,2023-12-18 12:37:10,2023-12-18 12:37:10,"0,902s",FAILED
,,,,,,,
Test Cases/Menu/RT006 MenuClicks - Missie_Visie,Chrome 120.0.0.0,,,2023-12-18 12:37:11,2023-12-18 12:37:17,"6,500s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 12:37:11,2023-12-18 12:37:11,"0,751s",PASSED
maximizeWindow(),Chrome 120.0.0.0,,,2023-12-18 12:37:11,2023-12-18 12:37:11,"0,127s",PASSED
navigateToUrl(URL + OVER_ONS + MISSIE_VISIE),Chrome 120.0.0.0,,,2023-12-18 12:37:11,2023-12-18 12:37:12,"0,876s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:37:12,2023-12-18 12:37:13,"0,563s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SoftwareTesting""))",Chrome 120.0.0.0,,,2023-12-18 12:37:13,2023-12-18 12:37:13,"0,439s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Software Testing - RisQIT/h1_Software Testing""), ""Software Testing"")",Chrome 120.0.0.0,,,2023-12-18 12:37:13,2023-12-18 12:37:14,"0,618s",PASSED
navigateToUrl(URL + OVER_ONS + MISSIE_VISIE),Chrome 120.0.0.0,,,2023-12-18 12:37:14,2023-12-18 12:37:14,"0,074s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:37:14,2023-12-18 12:37:15,"0,629s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SHT""))",Chrome 120.0.0.0,,,2023-12-18 12:37:15,2023-12-18 12:37:15,"0,529s",PASSED
"verifyElementText(findTestObject(""Page_Security en HackersTest (SHT) - RisQIT/h1_Security en HackersTest (SHT)""), ""Security En HackersTest (SHT)"")",Chrome 120.0.0.0,,,2023-12-18 12:37:15,2023-12-18 12:37:16,"0,423s",PASSED
navigateToUrl(URL + OVER_ONS + MISSIE_VISIE),Chrome 120.0.0.0,,,2023-12-18 12:37:16,2023-12-18 12:37:16,"0,082s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:37:16,2023-12-18 12:37:16,"0,663s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_UXLab""))",Chrome 120.0.0.0,,,2023-12-18 12:37:16,2023-12-18 12:37:17,"0,660s",FAILED
,,,,,,,
Test Cases/Menu/RT007 MenuClicks - Het Gilde,Chrome 120.0.0.0,,,2023-12-18 12:37:17,2023-12-18 12:37:35,"18,338s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 12:37:17,2023-12-18 12:37:18,"0,737s",PASSED
maximizeWindow(),Chrome 120.0.0.0,,,2023-12-18 12:37:18,2023-12-18 12:37:18,"0,127s",PASSED
